network,station id,start_date,end_date, lat,lon,elev,element,state,county,basin,site_name,site_info_link,cdbs_id,shef_id,gmt_offset
snotel,779,28764,73051,42.53,-110.66,9000,Snow Water Equivalent,WY,Sublette,Spring Creek-Green River,Spring Creek Divide,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=779,10G20S  ,SCDW4,8
snotel,786,30590,73051,43.03,-109.17,8620,Snow Water Equivalent,WY,Fremont,Middle North Fork Little Wind River,St. Lawrence Alt,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=786,09F27S  ,SLAW4,8
snotel,798,28764,73051,44.72,-107.4,8880,Snow Water Equivalent,WY,Sheridan,West Fork Big Goose Creek,Sucker Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=798,07E12S  ,SUCW4,8
snotel,806,28764,73051,44.48,-110.16,8420,Snow Water Equivalent,WY,Park,Chipmunk Creek,Sylvan Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=806,10E06S  ,SYLW4,8
snotel,807,31686,73051,44.48,-110.04,7120,Snow Water Equivalent,WY,Park,Crow Creek,Sylvan Road,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=807,10E20S  ,SYRW4,8
snotel,816,32051,73051,44.37,-110.58,7980,Snow Water Equivalent,WY,Teton,Lower Pelican Creek,Thumb Divide,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=816,10E07S  ,THUW4,8
snotel,818,34576,73051,44.81,-107.41,6870,Snow Water Equivalent,WY,Sheridan,Lower Big Goose Creek,Tie Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=818,07E39S  ,TIEW4,8
snotel,819,31686,73051,44.03,-109.18,7950,Snow Water Equivalent,WY,Park,Rose Creek-Greybull River,Timber Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=819,09E03S  ,TICW4,8
snotel,822,29129,73051,43.75,-110.06,9580,Snow Water Equivalent,WY,Teton,Upper Horse Creek,Togwotee Pass,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=822,10F09S  ,TOGW4,8
snotel,826,29129,73051,42.7,-108.9,8700,Snow Water Equivalent,WY,Fremont,Sand Creek,Townsend Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=826,08G07S  ,TWNW4,8
snotel,831,30956,73051,42.76,-110.59,8500,Snow Water Equivalent,WY,Sublette,Lower Horse Creek,Triple Peak,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=831,10G15S  ,TRPW4,8
snotel,837,29129,73051,44.15,-110.22,9240,Snow Water Equivalent,WY,Teton,De Lacy Creek,Two Ocean Plateau,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=837,10E17S  ,TOPW4,8
snotel,852,28764,73051,41.16,-106.93,9250,Snow Water Equivalent,WY,Carbon,North Fork Encampment River,Webber Springs,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=852,06H09S  ,WBSW4,8
snotel,859,31321,73051,41,-106.91,8950,Snow Water Equivalent,WY,Carbon,King Solomon Creek,Whiskey Park,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=859,06H22S  ,WPKW4,8
snotel,868,29129,73051,42.82,-110.84,8080,Snow Water Equivalent,WY,Lincoln,Tygee Creek,Willow Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=868,10G23S  ,WILW4,8
snotel,872,29129,73051,42.28,-105.58,7900,Snow Water Equivalent,WY,Albany,Middle Bear Creek,Windy Peak,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=872,05G05S  ,WNDW4,8
snotel,875,29129,73051,44.8,-109.66,7650,Snow Water Equivalent,WY,Park,Crazy Creek,Wolverine,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=875,09E08S  ,WLVW4,8
snotel,878,29129,73051,43.93,-109.82,8350,Snow Water Equivalent,WY,Park,East Fork Creek,Younts Peak,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=878,09F18S  ,YOUW4,8
