 AADI        QJ      : 1961-1976, 1978-1998
 AADI        QJX     : 1989-1991
 ABEI        EJ      : 1991-1994
 ABEI        ET      : 1991-2021
 ABEI        ETOS    : 1991, 1993-1996, 2003-2021
 ABEI        ETRS    : 1991, 1993-1996, 2003-2021
 ABEI        MM      : 1991-2021
 ABEI        MN      : 1991-2021
 ABEI        MX      : 1991-2021
 ABEI        PC      : 1991-1998
 ABEI        PP      : 1991-2021
 ABEI        PU      : 1992-2021
 ABEI        SR      : 1991-2021
 ABEI        SR2     : 1993-2014
 ABEI        TA      : 1991-2021
 ABEI        TG      : 1991-2021
 ABEI        TU      : 1991-1992
 ABEI        UA      : 1991-2021
 ABEI        UD      : 1991-2021
 ABEI        WG      : 1996-2021
 ABEI        WR      : 1991-2021
 ABEI        XC      : 1991-2021
 ABEI        XD      : 1991-2021
 ABEI        XG      : 1991-2021
 ABEI        XH      : 1991-2021
 ABEI        XJ      : 1991-1999, 2002-2021
 ABEI        YM      : 1991-2021
 ABEI        YW      : 1991-2021
 ABEI        ZCM     : 1991-2021
 ABEI        ZCN     : 1991-2021
 ABEI        ZCX     : 1991-2021
 ABEI        ZG      : 1991-2021
 ABEI        ZH      : 1991-2021
 ABEI        ZK      : 1991-2021
 ABEI        ZL      : 1991-2021
 ABEI        ZM      : 1991-1999, 2002-2021
 ABEI2       ET      : 1998
 ABEI2       MM      : 1997-1998
 ABEI2       MN      : 1997-1998
 ABEI2       MX      : 1997-1998
 ABEI2       PC      : 1997
 ABEI2       PP      : 1997-1998
 ABEI2       PU      : 1998
 ABEI2       SR      : 1997-1998
 ABEI2       SR2     : 1998
 ABEI2       TA      : 1997-1998
 ABEI2       TG      : 1997-1998
 ABEI2       UA      : 1998
 ABEI2       UD      : 1998
 ABEI2       WG      : 1998
 ABEI2       WR      : 1998
 ABEI2       XC      : 1998
 ABEI2       XD      : 1998
 ABEI2       XG      : 1998
 ABEI2       XH      : 1998
 ABEI2       YM      : 1997-1998
 ABEI2       YW      : 1998
 ABEI2       ZCM     : 1998
 ABEI2       ZCN     : 1998
 ABEI2       ZCX     : 1998
 ABEI2       ZG      : 1998
 ABEI2       ZH      : 1998
 ABEI2       ZK      : 1998
 ABEI2       ZL      : 1998
 ABOM        GD      : 1986-1998
 ABOM        HJ      : 1986-1987
 ABOM        QD      : 1986-1992
 ABPK        QJ      : 1982-1983
 ACAO        GD      : 2008-2021
 ACAO        HJ      : 2008-2021
 ACAO        QD      : 2008-2021
 ACAO        WI      : 2008-2021
 ACAO        WK      : 2008-2021
 ACAO        WZ      : 2008-2021
 ACFW        QD      : 1915, 1917-1924, 1931-1978
 ACHO        QJ      : 1980-2011, 2013-2021
 ACKI        BN      : 2014-2016
 ACKI        BP      : 2014-2016
 ACKI        BX      : 2014-2016
 ACKI        ET      : 2014-2021
 ACKI        ETOS    : 2014-2021
 ACKI        ETRS    : 2014-2021
 ACKI        MM      : 2014-2021
 ACKI        MN      : 2014-2021
 ACKI        MX      : 2014-2021
 ACKI        PP      : 2014-2021
 ACKI        PU      : 2014-2021
 ACKI        SR      : 2014-2021
 ACKI        TA      : 2014-2021
 ACKI        TG      : 2014-2021
 ACKI        UA      : 2014-2021
 ACKI        UD      : 2014-2021
 ACKI        WG      : 2014-2021
 ACKI        WR      : 2014-2021
 ACKI        YM      : 2014-2021
 ADDO        GJ      : 2003-2021
 ADDO        QJ      : 1980-2014
 ADDO        WI      : 2003-2021
 ADDO        WK      : 2003-2021
 ADDO        WZ      : 2003-2021
 ADMW        QD      : 1932-1978
 ADNE        GJ      : 1990-1997
 AFAI        AF      : 1988-1994
 AFAI        FB      : 1986-1994
 AFAI        FBX     : 1988
 AFCI        GJ      : 1986-2021
 AFCI        HH      : 1986-2021
 AFCI        QJ      : 1977-2021
 AFSI        FB      : 1986-1994
 AFSI        FBX     : 1988
 AFSPRING    QD      : 1988-1993, 2001-2002
 AFSW        MM      : 1989-2021
 AFSW        MN      : 1989-2021
 AFSW        MX      : 1997-2021
 AFSW        PC      : 1980-2021
 AFSW        PP      : 2011
 AFSW        SD      : 2006-2021
 AFSW        SE      : 1980-2021, 6190
 AFSW        SS      : 2013-2021
 AFTY        EJ      : 1988-1994
 AFTY        ET      : 1988-2021
 AFTY        ETOS    : 1994-1996, 1998, 2003-2021
 AFTY        ETRS    : 1994-1996, 1998, 2003-2021
 AFTY        MM      : 1985-2021
 AFTY        MN      : 1981-2021
 AFTY        MX      : 1981-2021
 AFTY        PC      : 1984-2021, 6190
 AFTY        PP      : 1981-2021
 AFTY        PU      : 1989-2021
 AFTY        SR      : 1988-2021
 AFTY        TA      : 1988-2021
 AFTY        TG      : 1988-2021
 AFTY        TU      : 1988-1995
 AFTY        UA      : 1988-2021
 AFTY        UD      : 1988-2021
 AFTY        UV      : 1988-1992
 AFTY        WG      : 2001-2021
 AFTY        WR      : 1988-2021
 AFTY        XC      : 1991-2021
 AFTY        XD      : 1991-2021
 AFTY        XG      : 1991-2021
 AFTY        XH      : 1991-2021
 AFTY        XJ      : 1991, 1997, 2002-2021
 AFTY        YM      : 1989-2021
 AFTY        YP      : 1988-1989
 AFTY        YW      : 1991, 1995-2021
 AFTY        ZK      : 1991-2021
 AFTY        ZL      : 1991-2021
 AFTY        ZM      : 1991, 1997, 2002-2021
 AGA         AF      : 1966-1976, 1978, 1985, 1991-2021, 8110
 AGA         FB      : 1991-2021
 AGA         GD      : 2006-2021
 AGA         GJ      : 1996-2021
 AGA         HH      : 1996-2021
 AGA         MM      : 2010-2021
 AGA         MN      : 2010-2021
 AGA         MX      : 2010-2021
 AGA         PC      : 1998-2021
 AGA         PP      : 1998-2021
 AGA         PU      : 1998-2021
 AGA         QD      : 1999-2021
 AGA         QJ      : 1996-2021
 AGA         QRD     : 1999-2021
 AGA         QSD     : 1999-2021
 AGA         WI      : 1999-2014
 AGA         WK      : 1999-2014
 AGA         WZ      : 1999-2014
 AGA         XN      : 1996-2002
 AGA         XX      : 1996-2002
 AGKO        ET      : 2000-2021
 AGKO        ETOS    : 2003-2021
 AGKO        ETRS    : 2003-2021
 AGKO        FB      : 2000-2009
 AGKO        FB2     : 2000-2009
 AGKO        MM      : 2000-2021
 AGKO        MN      : 2000-2021
 AGKO        MX      : 2000-2021
 AGKO        PC      : 2000-2021
 AGKO        PP      : 2000-2021
 AGKO        PU      : 2001-2021
 AGKO        SR      : 2000-2021
